Customer_ID,Amount,City,IP_Address,Merchant
4174,1879,Hyderabad,10.0.0.5,Zomato
4507,4333,Chennai,172.16.5.4,Flipkart
1860,4389,Mumbai,172.16.5.4,Flipkart
2294,972,Chennai,172.16.5.4,Swiggy
2130,1600,Mumbai,192.168.1.1,Swiggy
2095,3032,Mumbai,100.45.21.3,Myntra
4772,2094,Delhi,45.67.12.5,Swiggy
4092,3031,Delhi,10.0.0.5,Swiggy
2638,4464,Delhi,172.16.5.4,Swiggy
3169,1647,Chennai,192.168.1.1,Swiggy
1466,2371,Bangalore,10.0.0.5,Amazon
2238,4908,Delhi,192.168.1.1,Swiggy
1330,2071,Hyderabad,192.168.1.1,Amazon
2482,1367,Chennai,192.168.1.1,Zomato
3135,3525,Chennai,10.0.0.5,Flipkart
4444,3605,Delhi,10.0.0.5,Amazon
4171,4347,Mumbai,192.168.1.1,Flipkart
3919,1607,Delhi,192.168.1.1,Myntra
4735,3848,Delhi,172.16.5.4,Amazon
1130,1119,Bangalore,192.168.1.1,Myntra
2685,547,Bangalore,45.67.12.5,Swiggy
4380,154,Mumbai,192.168.1.1,Swiggy
1769,3803,Bangalore,45.67.12.5,Myntra
3391,4085,Bangalore,172.16.5.4,Flipkart
2515,1897,Chennai,172.16.5.4,Amazon
4485,3198,Bangalore,100.45.21.3,Flipkart
3853,1627,Delhi,192.168.1.1,Swiggy
3433,2622,Hyderabad,192.168.1.1,Swiggy
2215,1033,Delhi,10.0.0.5,Amazon
1955,2110,Bangalore,45.67.12.5,Amazon
3324,4679,Delhi,10.0.0.5,Flipkart
2184,4697,Delhi,172.16.5.4,Amazon
1459,1549,Delhi,192.168.1.1,Amazon
4385,176,Bangalore,10.0.0.5,Myntra
1021,1807,Chennai,172.16.5.4,Amazon
3300,4968,Chennai,10.0.0.5,Myntra
1747,2319,Hyderabad,10.0.0.5,Zomato
3904,1664,Hyderabad,45.67.12.5,Swiggy
4632,2494,Bangalore,192.168.1.1,Zomato
1474,148,Chennai,100.45.21.3,Zomato
2082,1556,Mumbai,100.45.21.3,Amazon
3558,3525,Hyderabad,45.67.12.5,Flipkart
4753,3307,Chennai,192.168.1.1,Zomato
3047,4424,Chennai,192.168.1.1,Zomato
4547,425,Chennai,172.16.5.4,Zomato
3747,3524,Delhi,192.168.1.1,Zomato
1975,285,Hyderabad,172.16.5.4,Amazon
2806,4803,Bangalore,192.168.1.1,Swiggy
1189,4213,Bangalore,172.16.5.4,Swiggy
4005,2030,Bangalore,10.0.0.5,Flipkart
3734,1249,Delhi,45.67.12.5,Myntra
4005,666,Chennai,10.0.0.5,Flipkart
1562,2003,Chennai,172.16.5.4,Zomato
2899,867,Mumbai,10.0.0.5,Zomato
4638,102,Delhi,192.168.1.1,Flipkart
2267,3079,Hyderabad,172.16.5.4,Zomato
3879,4861,Hyderabad,100.45.21.3,Zomato
2528,4537,Hyderabad,100.45.21.3,Swiggy
4202,3153,Chennai,172.16.5.4,Myntra
4556,240,Delhi,10.0.0.5,Flipkart
4890,1768,Hyderabad,192.168.1.1,Myntra
1646,880,Chennai,45.67.12.5,Amazon
3068,3522,Bangalore,192.168.1.1,Myntra
3888,2148,Chennai,172.16.5.4,Flipkart
3214,3410,Bangalore,45.67.12.5,Flipkart
2297,2635,Delhi,192.168.1.1,Myntra
3435,2375,Mumbai,45.67.12.5,Myntra
1600,500,Mumbai,10.0.0.5,Myntra
3363,4479,Hyderabad,10.0.0.5,Zomato
3061,814,Bangalore,45.67.12.5,Amazon
1241,2603,Bangalore,10.0.0.5,Zomato
3041,531,Hyderabad,10.0.0.5,Zomato
3824,2457,Delhi,192.168.1.1,Myntra
4417,4698,Mumbai,45.67.12.5,Myntra
3612,125,Mumbai,192.168.1.1,Amazon
3945,4818,Hyderabad,172.16.5.4,Swiggy
2363,2385,Delhi,10.0.0.5,Amazon
3139,1510,Mumbai,45.67.12.5,Myntra
2390,3298,Bangalore,172.16.5.4,Amazon
4003,2048,Mumbai,100.45.21.3,Amazon
2478,2640,Hyderabad,192.168.1.1,Swiggy
4499,1933,Mumbai,10.0.0.5,Flipkart
3556,248,Hyderabad,10.0.0.5,Swiggy
1775,2517,Chennai,100.45.21.3,Zomato
1034,1147,Delhi,192.168.1.1,Amazon
3253,3544,Mumbai,172.16.5.4,Myntra
4152,4256,Chennai,172.16.5.4,Amazon
2955,4015,Hyderabad,100.45.21.3,Flipkart
2585,2191,Mumbai,10.0.0.5,Flipkart
4943,346,Mumbai,172.16.5.4,Swiggy
4459,2358,Chennai,100.45.21.3,Myntra
4073,2822,Mumbai,10.0.0.5,Flipkart
2021,3895,Chennai,45.67.12.5,Zomato
4461,367,Chennai,45.67.12.5,Myntra
3613,321,Delhi,100.45.21.3,Zomato
2129,1417,Delhi,192.168.1.1,Flipkart
4843,2500,Hyderabad,10.0.0.5,Amazon
4893,3361,Bangalore,45.67.12.5,Amazon
2500,1708,Delhi,10.0.0.5,Flipkart
1702,492,Delhi,192.168.1.1,Zomato
3449,658,Chennai,172.16.5.4,Zomato
3777,1142,Chennai,10.0.0.5,Flipkart
2579,3834,Chennai,192.168.1.1,Amazon
1161,2907,Bangalore,172.16.5.4,Flipkart
1201,1994,Delhi,172.16.5.4,Flipkart
2981,2921,Mumbai,10.0.0.5,Myntra
1995,992,Delhi,10.0.0.5,Myntra
3317,1507,Hyderabad,10.0.0.5,Swiggy
4934,1414,Bangalore,10.0.0.5,Amazon
1815,2188,Hyderabad,45.67.12.5,Swiggy
4342,338,Chennai,172.16.5.4,Amazon
1455,3394,Mumbai,10.0.0.5,Flipkart
4533,4736,Bangalore,10.0.0.5,Swiggy
4798,2680,Bangalore,100.45.21.3,Swiggy
2275,4693,Mumbai,10.0.0.5,Flipkart
2016,4703,Hyderabad,100.45.21.3,Myntra
4773,273,Delhi,45.67.12.5,Swiggy
3343,3700,Hyderabad,192.168.1.1,Myntra
4796,2868,Mumbai,100.45.21.3,Flipkart
3767,1571,Delhi,45.67.12.5,Zomato
4820,1704,Bangalore,100.45.21.3,Myntra
1337,3678,Mumbai,172.16.5.4,Flipkart
1878,4822,Hyderabad,172.16.5.4,Myntra
2076,3908,Mumbai,100.45.21.3,Swiggy
1791,2142,Bangalore,172.16.5.4,Myntra
4993,4513,Chennai,192.168.1.1,Swiggy
3264,786,Bangalore,192.168.1.1,Myntra
1763,195,Bangalore,45.67.12.5,Myntra
3235,2447,Chennai,10.0.0.5,Amazon
1379,4944,Mumbai,192.168.1.1,Swiggy
1492,3527,Chennai,100.45.21.3,Amazon
4112,1083,Bangalore,192.168.1.1,Amazon
2180,2331,Delhi,172.16.5.4,Flipkart
3062,4669,Delhi,172.16.5.4,Amazon
4884,1777,Hyderabad,192.168.1.1,Swiggy
1064,3050,Hyderabad,100.45.21.3,Amazon
4928,435,Bangalore,45.67.12.5,Zomato
4910,2370,Mumbai,192.168.1.1,Amazon
3568,4069,Chennai,10.0.0.5,Zomato
2367,4989,Mumbai,192.168.1.1,Amazon
2152,2424,Mumbai,10.0.0.5,Amazon
3027,563,Chennai,172.16.5.4,Zomato
3695,76,Delhi,192.168.1.1,Myntra
2495,714,Delhi,100.45.21.3,Flipkart
4134,2237,Chennai,192.168.1.1,Zomato
2162,4034,Chennai,100.45.21.3,Zomato
2522,1590,Delhi,172.16.5.4,Amazon
3640,1805,Mumbai,192.168.1.1,Zomato
1391,4173,Chennai,192.168.1.1,Myntra
2698,3882,Delhi,45.67.12.5,Amazon
1418,2681,Chennai,100.45.21.3,Zomato
3336,357,Mumbai,192.168.1.1,Swiggy
1378,3519,Delhi,172.16.5.4,Flipkart
2796,4279,Chennai,10.0.0.5,Swiggy
4561,2883,Chennai,45.67.12.5,Swiggy
3278,3414,Bangalore,45.67.12.5,Flipkart
4065,2043,Bangalore,10.0.0.5,Swiggy
3088,753,Mumbai,100.45.21.3,Flipkart
4099,404,Mumbai,45.67.12.5,Flipkart
3182,596,Chennai,192.168.1.1,Swiggy
1200,159,Delhi,172.16.5.4,Flipkart
2863,1548,Mumbai,45.67.12.5,Myntra
1779,3721,Chennai,10.0.0.5,Flipkart
3977,612,Chennai,172.16.5.4,Myntra
4104,3233,Mumbai,192.168.1.1,Myntra
4119,1637,Delhi,10.0.0.5,Swiggy
1502,515,Mumbai,192.168.1.1,Myntra
3454,226,Mumbai,10.0.0.5,Flipkart
4645,3248,Chennai,10.0.0.5,Swiggy
2751,4130,Mumbai,100.45.21.3,Amazon
1804,2977,Hyderabad,172.16.5.4,Amazon
3146,944,Mumbai,192.168.1.1,Amazon
3731,1532,Chennai,192.168.1.1,Myntra
2895,4170,Mumbai,172.16.5.4,Flipkart
3773,1258,Bangalore,172.16.5.4,Swiggy
